Date,Rep,Trt,Plug,Dist_I_P(unit:mm),Dist_P_E(unit:mm),IsNAorNot
4,1,75-150,WA,3.31,0,FALSE
4,1,75-150,75,3.26,0,FALSE
4,1,75-150,150,3.43,0,FALSE
4,2,75-150,WA,3.27,0,FALSE
4,2,75-150,75,2.91,0,FALSE
4,2,75-150,150,2.99,0,FALSE
4,3,75-150,WA,2.92,0,FALSE
4,3,75-150,75,3.31,0,FALSE
4,3,75-150,150,3.33,0,FALSE
4,4,75-150,WA,2.92,0,FALSE
4,4,75-150,75,3.32,0,FALSE
4,4,75-150,150,4.25,0,FALSE
4,5,75-150,WA,3.45,0,FALSE
4,5,75-150,75,3.53,0,FALSE
4,5,75-150,150,3.21,0,FALSE
4,4,50-75,WA,2.76,0,FALSE
4,4,50-75,50,4.35,0,FALSE
4,4,50-75,75,3.1,0,FALSE
4,3,50-75,WA,2.92,0,FALSE
4,3,50-75,50,2.03,0,FALSE
4,3,50-75,75,3.15,0,FALSE
4,1,50-75,WA,2.7,0,FALSE
4,1,50-75,50,2.12,0,FALSE
4,1,50-75,75,2.94,0,FALSE
4,2,50-75,WA,2.69,0,FALSE
4,2,50-75,50,2.8,0,FALSE
4,2,50-75,75,2.29,0,FALSE
4,5,50-75,WA,3.23,0,FALSE
4,5,50-75,50,2.36,0,FALSE
4,5,50-75,75,3.18,0,FALSE
4,1,50-150,WA,2.73,0,FALSE
4,1,50-150,50,3.07,0,FALSE
4,1,50-150,150,5.46,0,FALSE
4,2,50-150,WA,2.5,0,FALSE
4,2,50-150,50,3.78,0,FALSE
4,2,50-150,150,3.92,0,FALSE
4,3,50-150,WA,4.22,0,FALSE
4,3,50-150,50,3.92,0,FALSE
4,3,50-150,150,4.85,0,FALSE
4,4,50-150,WA,2.8,0,FALSE
4,4,50-150,50,3.56,0,FALSE
4,4,50-150,150,3.2,0,FALSE
4,5,50-150,WA,3.3,0,FALSE
4,5,50-150,50,3.05,0,FALSE
4,5,50-150,150,2.95,0,FALSE
4,1,50-100,WA,2.54,0,FALSE
4,1,50-100,50,2.69,0,FALSE
4,1,50-100,100,3.25,0,FALSE
4,2,50-100,WA,3.31,0,FALSE
4,2,50-100,50,2.61,0,FALSE
4,2,50-100,100,1.79,0,FALSE
4,3,50-100,WA,1.38,0,FALSE
4,3,50-100,50,1.96,0,FALSE
4,3,50-100,100,2.55,0,FALSE
4,5,50-100,WA,1.38,0,FALSE
4,5,50-100,50,1.96,0,FALSE
4,5,50-100,100,2.55,0,FALSE
4,4,50-100,WA,1.76,0,FALSE
4,4,50-100,50,2.61,0,FALSE
4,4,50-100,100,2.35,0,FALSE
