date,trt,conc.,rep,Innoculate_to_plug(mm),plug_to_edge(mm),IsNA,預設距離為 12mm
3,25-100,25,1,3.06,0,,
3,25-100,25,2,2.04,0,,
3,25-100,25,3,2.26,0,,
3,25-100,25,4,4.36,0,,
3,25-100,25,5,2.49,0,,
3,25-100,25,6,2.6,0,,
3,25-100,25,7,2.49,0,,
3,25-100,25,8,2.75,0,,
3,25-100,25,9,3.07,0,,
3,25-100,25,10,4.17,0,,
3,25-100,100,1,3.64,0,,
3,25-100,100,2,3.37,0,,
3,25-100,100,3,4.22,0,,
3,25-100,100,4,3.24,0,,
3,25-100,100,5,4.35,0,,
3,25-100,100,6,2.92,0,,
3,25-100,100,7,2.31,0,,
3,25-100,100,8,2.62,0,,
3,25-100,100,9,4.18,0,,
3,25-100,100,10,4.04,0,,
3,25-150,25,1,2.22,0,,
3,25-150,25,2,3.51,0,,
3,25-150,25,3,3.78,0,,
3,25-150,25,4,4.48,0,,
3,25-150,25,5,3.91,0,,
3,25-150,25,6,3.2,0,,
3,25-150,25,7,2.04,0,,
3,25-150,25,8,4.18,0,,
3,25-150,25,9,3.86,0,,
3,25-150,25,10,4.26,0,,中心點較靠近 I
3,25-150,150,1,4.26,0,,
3,25-150,150,2,4.44,0,,
3,25-150,150,3,3.93,0,,
3,25-150,150,4,2.62,0,,
3,25-150,150,5,5.55,0,,
3,25-150,150,6,3.33,0,,
3,25-150,150,7,3.33,0,,
3,25-150,150,8,4.17,0,,
3,25-150,150,9,5.24,0,,
3,25-150,150,10,2.85,0,,
3,50-150,50,1,3.47,0,,
3,50-150,50,2,2.14,0,,
3,50-150,50,3,0,0,,沒有菌絲
3,50-150,50,4,3.48,0,,
3,50-150,50,5,3.06,0,,
3,50-150,50,6,3.38,0,,
3,50-150,50,7,2.53,0,,
3,50-150,50,8,2.84,0,,
3,50-150,50,9,2.49,0,,
3,50-150,50,10,2.35,0,,
3,50-150,150,1,3.82,0,,
3,50-150,150,2,2.31,0,,
3,50-150,150,3,2.04,0,,
3,50-150,150,4,3.21,0,,
3,50-150,150,5,3.11,0,,
3,50-150,150,6,3.29,0,,
3,50-150,150,7,4.44,0,,
3,50-150,150,8,3.99,0,,
3,50-150,150,9,3.02,0,,
3,50-150,150,10,1.42,0,,
3,50-100,50,1,4.22,0,,
3,50-100,50,2,4.57,0,,
3,50-100,50,3,4.27,0,,
3,50-100,50,4,3.73,0,,
3,50-100,50,5,1.69,0,,
3,50-100,50,6,4,0,,
3,50-100,50,7,2.8,0,,
3,50-100,50,8,3.37,0,,
3,50-100,50,9,3.46,0,,
3,50-100,50,10,3.46,0,,
3,50-100,100,1,4.88,0,,
3,50-100,100,2,3.82,0,,
3,50-100,100,3,4.39,0,,
3,50-100,100,4,4.44,0,,
3,50-100,100,5,3.73,0,,
3,50-100,100,6,3.73,0,,
3,50-100,100,7,3.2,0,,
3,50-100,100,8,2.75,0,,
3,50-100,100,9,2.57,0,,
3,50-100,100,10,2.18,0,,
3,75-100,75,1,1.2,0,,
3,75-100,75,2,2.26,0,,
3,75-100,75,3,2.22,0,,
3,75-100,75,4,2.49,0,,
3,75-100,75,5,2.72,0,,
3,75-100,75,6,3.59,0,,
3,75-100,75,7,1.02,0,,
3,75-100,75,8,2.93,0,,
3,75-100,75,9,1.86,0,,
3,75-100,75,10,1.47,0,,
3,75-100,100,1,2.44,0,,
3,75-100,100,2,1.86,0,,
3,75-100,100,3,3.15,0,,
3,75-100,100,4,2.71,0,,
3,75-100,100,5,3.29,0,,
3,75-100,100,6,3.55,0,,
3,75-100,100,7,1.43,0,,
3,75-100,100,8,1.51,0,,
3,75-100,100,9,2.75,0,,
3,75-100,100,10,0,0,,沒有菌絲
5,25-100,25,1,7.34,0,,
5,25-100,25,2,6.82,0,,
5,25-100,25,3,7.2,0,,
5,25-100,25,4,8.74,0,,
5,25-100,25,5,6.67,0,,
5,25-100,25,6,6.51,0,,
5,25-100,25,7,5.34,0,,
5,25-100,25,8,6.4,0,,
5,25-100,25,9,5.68,0,,
5,25-100,25,10,7.6,0,,
5,25-100,100,1,8.89,0,,
5,25-100,100,2,8.9,0,,
5,25-100,100,3,9.07,0,,
5,25-100,100,4,9.25,0,,
5,25-100,100,5,10.05,0,,
5,25-100,100,6,8.64,0,,
5,25-100,100,7,7.34,0,,
5,25-100,100,8,7.56,0,,
5,25-100,100,9,9.89,0,,
5,25-100,100,10,9.81,0,,
5,25-150,25,1,6.7,0,,
5,25-150,25,2,8.54,0,,
5,25-150,25,3,8.09,0,,
5,25-150,25,4,8.54,0,,
5,25-150,25,5,7.74,0,,
5,25-150,25,6,7.47,0,,
5,25-150,25,7,7.03,0,,
5,25-150,25,8,9.12,0,,
5,25-150,25,9,8.09,0,,
5,25-150,25,10,8.54,0,,
5,25-150,150,1,11.39,0,,
5,25-150,150,2,10.14,0,,
5,25-150,150,3,10.24,0,,
5,25-150,150,4,9,0,,
5,25-150,150,5,10.27,2.13,,* 間距較短
5,25-150,150,6,9.34,0,,
5,25-150,150,7,9.69,0,,
5,25-150,150,8,10.5,0,,
5,25-150,150,9,12.54,0,,
5,25-150,150,10,9.43,0,,
5,50-150,50,1,7.78,0,,
5,50-150,50,2,7.21,0,,
5,50-150,50,3,5.61,0,,
5,50-150,50,4,8.92,0,,
5,50-150,50,5,7.65,0,,
5,50-150,50,6,8.47,0,,
5,50-150,50,7,7.65,0,,
5,50-150,50,8,8.01,0,,
5,50-150,50,9,7.03,0,,
5,50-150,50,10,7.16,0,,
5,50-150,150,1,10.07,0,,
5,50-150,150,2,8.27,0,,
5,50-150,150,3,8.18,0,,
5,50-150,150,4,9.09,0,,
5,50-150,150,5,9.3,0,,
5,50-150,150,6,9.97,0,,
5,50-150,150,7,11.12,0,,
5,50-150,150,8,10.02,0,,
5,50-150,150,9,9.43,0,,
5,50-150,150,10,7.65,0,,
5,50-100,50,1,8.95,0,,* 間距較短
5,50-100,50,2,9.07,0,,
5,50-100,50,3,8.92,0,,
5,50-100,50,4,8.8,0,,
5,50-100,50,5,6.85,0,,
5,50-100,50,6,9.26,0,,
5,50-100,50,7,7.56,0,,
5,50-100,50,8,7.9,0,,
5,50-100,50,9,8.99,0,,
5,50-100,50,10,8.55,0,,
5,50-100,100,1,8.76,3.65,,
5,50-100,100,2,9.61,0,,
5,50-100,100,3,10.32,0,,
5,50-100,100,4,10.23,0,,
5,50-100,100,5,9.52,0,,
5,50-100,100,6,8.98,0,,
5,50-100,100,7,8.49,0,,
5,50-100,100,8,8.64,0,,
5,50-100,100,9,7.78,0,,
5,50-100,100,10,8.27,0,,
5,75-100,75,1,6.4,0,,
5,75-100,75,2,7.74,0,,
5,75-100,75,3,8.09,0,,
5,75-100,75,4,8.02,0,,
5,75-100,75,5,8.46,0,,
5,75-100,75,6,9.96,0,,
5,75-100,75,7,7.4,0,,
5,75-100,75,8,8.54,0,,
5,75-100,75,9,7.16,0,,
5,75-100,75,10,7.87,0,,
5,75-100,100,1,9.52,0,,
5,75-100,100,2,7.92,0,,
5,75-100,100,3,9.34,0,,
5,75-100,100,4,8.63,0,,
5,75-100,100,5,9.61,0,,
5,75-100,100,6,10.5,0,,
5,75-100,100,7,8.27,0,,
5,75-100,100,8,6.49,0,,
5,75-100,100,9,8.02,0,,
5,75-100,100,10,5.35,0,,
6,25-100,25,1,9.32,0,,
6,25-100,25,2,8.13,0,,
6,25-100,25,3,8.65,0,,
6,25-100,25,4,10.1,0,,
6,25-100,25,5,8.39,0,,
6,25-100,25,6,7.65,0,,
6,25-100,25,7,7.36,0,,
6,25-100,25,8,8.51,0,,
6,25-100,25,9,8.44,0,,
6,25-100,25,10,9.04,0,,
6,25-100,100,1,10.6,0,,
6,25-100,100,2,11.71,0,,
6,25-100,100,3,10.64,0,,
6,25-100,100,4,11.26,0,,
6,25-100,100,5,12.33,0,,
6,25-100,100,6,11.02,0,,
6,25-100,100,7,9.17,0,,
6,25-100,100,8,10.02,0,,
6,25-100,100,9,11.72,0,,
6,25-100,100,10,11.58,0,,
6,25-150,25,1,8.35,0,,
6,25-150,25,2,9.84,0,,
6,25-150,25,3,11.01,0,,
6,25-150,25,4,9.14,0,,
6,25-150,25,5,9.75,0,,
6,25-150,25,6,9.13,0,,
6,25-150,25,7,8.44,0,,
6,25-150,25,8,10.9,0,,
6,25-150,25,9,9.58,0,,
6,25-150,25,10,9.26,1.42,,* 間距較短
6,25-150,150,1,11.9,1.47,,
6,25-150,150,2,11.88,1.29,,
6,25-150,150,3,11.08,0,,
6,25-150,150,4,11.92,0,,
6,25-150,150,5,10.81,4.3,,
6,25-150,150,6,10.82,0,,
6,25-150,150,7,11.7,0,,
6,25-150,150,8,12.85,0,,
6,25-150,150,9,12.05,2.08,,
6,25-150,150,10,11.61,0,,
6,50-150,50,1,9.88,0,,
6,50-150,50,2,8.95,0,,
